IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.71.226,2053,2053,true,SIN,Asia Pacific,Singapore,91,3.75
8.219.161.129,2083,2083,true,SIN,Asia Pacific,Singapore,103,3.71
8.222.168.24,2052,2052,false,SIN,Asia Pacific,Singapore,92,3.71
150.230.221.114,80,80,false,HKG,Asia Pacific,Hong Kong,0,3.70
47.236.170.54,8880,8880,false,SIN,Asia Pacific,Singapore,94,3.69
8.222.144.50,8880,8880,false,SIN,Asia Pacific,Singapore,99,3.68
8.222.190.225,2082,2082,false,SIN,Asia Pacific,Singapore,97,3.66
8.219.142.191,2087,2087,true,SIN,Asia Pacific,Singapore,104,3.64
47.236.174.206,2087,2087,true,SIN,Asia Pacific,Singapore,95,3.63
8.222.137.166,2052,2052,false,SIN,Asia Pacific,Singapore,98,3.61
47.236.123.133,2053,2053,true,SIN,Asia Pacific,Singapore,99,3.60
8.219.173.233,2082,2082,false,SIN,Asia Pacific,Singapore,94,3.60
47.236.130.95,2086,2086,false,SIN,Asia Pacific,Singapore,93,3.60
47.236.97.90,2095,2095,false,SIN,Asia Pacific,Singapore,97,3.58
8.219.65.191,2082,2082,false,SIN,Asia Pacific,Singapore,98,3.57
8.222.159.252,2053,2053,true,SIN,Asia Pacific,Singapore,91,3.55
47.236.103.153,8880,8880,false,SIN,Asia Pacific,Singapore,148,3.55
8.222.134.170,2053,2053,true,SIN,Asia Pacific,Singapore,98,3.52
47.236.88.181,2082,2082,false,SIN,Asia Pacific,Singapore,102,3.52
8.219.1.92,2052,2052,false,SIN,Asia Pacific,Singapore,91,3.51
8.219.185.191,2083,2083,true,SIN,Asia Pacific,Singapore,110,3.51
47.236.114.23,2083,2083,true,SIN,Asia Pacific,Singapore,88,3.50
8.222.188.56,8880,8880,false,SIN,Asia Pacific,Singapore,99,3.49
8.219.70.117,2053,2053,true,SIN,Asia Pacific,Singapore,96,3.47
8.219.161.129,2096,2096,true,SIN,Asia Pacific,Singapore,138,3.46
8.222.244.192,2095,2095,false,SIN,Asia Pacific,Singapore,148,3.45
47.236.88.181,8443,8443,true,SIN,Asia Pacific,Singapore,92,3.45
47.236.171.205,2053,2053,true,SIN,Asia Pacific,Singapore,105,3.43
8.222.167.8,2096,2096,true,SIN,Asia Pacific,Singapore,103,3.41
8.219.43.243,8080,8080,false,SIN,Asia Pacific,Singapore,90,3.38
8.222.249.190,2082,2082,false,SIN,Asia Pacific,Singapore,91,3.37
8.219.65.191,8880,8880,false,SIN,Asia Pacific,Singapore,99,3.33
8.222.128.131,2087,2087,true,SIN,Asia Pacific,Singapore,91,3.33
47.236.163.221,2086,2086,false,SIN,Asia Pacific,Singapore,90,3.32
47.236.149.107,2082,2082,false,SIN,Asia Pacific,Singapore,101,3.32
8.219.139.13,2096,2096,true,SIN,Asia Pacific,Singapore,93,3.28
8.219.222.8,80,80,false,HKG,Asia Pacific,Hong Kong,1,3.27
8.222.169.182,2087,2087,true,SIN,Asia Pacific,Singapore,101,3.26
8.222.128.131,8443,8443,true,SIN,Asia Pacific,Singapore,95,3.25
8.222.211.124,2053,2053,true,SIN,Asia Pacific,Singapore,95,3.25
47.236.114.23,8443,8443,true,SIN,Asia Pacific,Singapore,94,3.23
8.219.112.75,8080,8080,false,SIN,Asia Pacific,Singapore,102,3.20
8.219.222.98,8880,8880,false,SIN,Asia Pacific,Singapore,98,3.19
8.222.137.178,2096,2096,true,SIN,Asia Pacific,Singapore,97,3.19
8.219.153.44,80,80,false,HKG,Asia Pacific,Hong Kong,3,3.17
138.2.104.2,2096,2096,true,SIN,Asia Pacific,Singapore,252,3.17
8.219.245.187,2095,2095,false,SIN,Asia Pacific,Singapore,125,3.15
47.236.65.177,2052,2052,false,SIN,Asia Pacific,Singapore,95,3.15
8.222.227.191,2096,2096,true,SIN,Asia Pacific,Singapore,98,3.15
8.222.224.163,8080,8080,false,SIN,Asia Pacific,Singapore,150,3.15
8.222.130.137,2096,2096,true,SIN,Asia Pacific,Singapore,91,3.13
8.219.213.133,2095,2095,false,SIN,Asia Pacific,Singapore,92,3.11
47.236.10.100,2095,2095,false,SIN,Asia Pacific,Singapore,99,3.08
8.222.128.131,8880,8880,false,SIN,Asia Pacific,Singapore,97,3.07
8.219.134.117,2083,2083,true,SIN,Asia Pacific,Singapore,95,3.06
8.222.229.22,2095,2095,false,SIN,Asia Pacific,Singapore,104,3.06
8.219.79.74,2086,2086,false,SIN,Asia Pacific,Singapore,103,3.05
47.236.144.196,2053,2053,true,SIN,Asia Pacific,Singapore,95,3.05
47.236.164.215,2083,2083,true,SIN,Asia Pacific,Singapore,146,3.04
8.219.147.58,8080,8080,false,SIN,Asia Pacific,Singapore,95,3.01
8.222.167.8,8443,8443,true,SIN,Asia Pacific,Singapore,99,2.99
8.219.77.91,2087,2087,true,SIN,Asia Pacific,Singapore,90,2.99
8.219.103.57,2086,2086,false,SIN,Asia Pacific,Singapore,97,2.99
8.219.191.40,2052,2052,false,SIN,Asia Pacific,Singapore,104,2.98
47.236.167.231,2096,2096,true,SIN,Asia Pacific,Singapore,102,2.98
47.236.144.48,2052,2052,false,SIN,Asia Pacific,Singapore,98,2.97
8.222.219.34,8443,8443,true,SIN,Asia Pacific,Singapore,94,2.97
8.219.139.13,8443,8443,true,SIN,Asia Pacific,Singapore,98,2.97
8.219.78.1,8880,8880,false,SIN,Asia Pacific,Singapore,92,2.96
8.219.70.117,2083,2083,true,SIN,Asia Pacific,Singapore,101,2.96
47.236.170.54,8443,8443,true,SIN,Asia Pacific,Singapore,92,2.95
8.219.63.66,8880,8880,false,SIN,Asia Pacific,Singapore,95,2.95
8.222.187.107,8080,8080,false,SIN,Asia Pacific,Singapore,151,2.95
8.222.167.8,2053,2053,true,SIN,Asia Pacific,Singapore,101,2.94
47.245.86.230,2083,2083,true,SIN,Asia Pacific,Singapore,95,2.94
8.222.164.44,8080,8080,false,SIN,Asia Pacific,Singapore,91,2.93
47.236.147.146,8880,8880,false,SIN,Asia Pacific,Singapore,96,2.92
8.219.43.243,2095,2095,false,SIN,Asia Pacific,Singapore,140,2.91
47.236.75.113,8080,8080,false,SIN,Asia Pacific,Singapore,98,2.91
47.236.165.25,2086,2086,false,SIN,Asia Pacific,Singapore,96,2.91
8.222.155.242,2095,2095,false,SIN,Asia Pacific,Singapore,97,2.90
8.222.167.8,8080,8080,false,SIN,Asia Pacific,Singapore,100,2.87
8.222.187.4,8443,8443,true,SIN,Asia Pacific,Singapore,94,2.87
8.222.187.107,2095,2095,false,SIN,Asia Pacific,Singapore,107,2.86
8.219.206.180,2082,2082,false,SIN,Asia Pacific,Singapore,92,2.86
8.222.150.197,2053,2053,true,SIN,Asia Pacific,Singapore,92,2.86
47.236.87.246,2096,2096,true,SIN,Asia Pacific,Singapore,96,2.83
47.236.172.41,8080,8080,false,SIN,Asia Pacific,Singapore,97,2.83
8.222.229.102,2083,2083,true,SIN,Asia Pacific,Singapore,147,2.82
47.245.114.163,2083,2083,true,SIN,Asia Pacific,Singapore,99,2.81
